id,firstname,lastname,university,university_shortname,university_city,functions,organization,organization_sector
206,Christoph,Lechner,Uni St. Gallen,USG,Saint Gallen,Mitglied des Verwaltungsrats,Hügli AG,"Industry, construction & agriculture"
207,Christoph A.,Müller,Uni St. Gallen,USG,Saint Gallen,Externer Moderator Projekt Gründerhochschule Exist IV,Hochschule Esslingen,Education & research
208,Christoph A.,Müller,Uni St. Gallen,USG,Saint Gallen,Aufsichtsratsvorsitzender,Promerit Holding AG,"Consulting, public relations, legal & trust"
209,Christoph A.,Müller,Uni St. Gallen,USG,Saint Gallen,Verwaltungsratspräsident,"Virtuell Bau Holding, St.Gallen","Commerce, trade & services"
210,Christoph A.,Müller,Uni St. Gallen,USG,Saint Gallen,Verwaltungsratspräsident,Promerit Management Consulting AG,"Consulting, public relations, legal & trust"
211,Christoph A.,Müller,Uni St. Gallen,USG,Saint Gallen,Verwaltungsratspräsident,Memo St.Gallen GmbH,"Consulting, public relations, legal & trust"
212,Christoph A.,Müller,Uni St. Gallen,USG,Saint Gallen,Präsidium,Förderkreis Gründungsforschung FGF e.V.,Education & research
213,Christoph A.,Müller,Uni St. Gallen,USG,Saint Gallen,Geschäftsführender Gesellschafter,UEC gemeinnützige GmbH,Education & research
214,Christoph A.,Müller,Uni St. Gallen,USG,Saint Gallen,Fachbeirat,"Clairfield International GmbH, Frankfurt/Main","Consulting, public relations, legal & trust"
215,Christoph A.,Müller,Uni St. Gallen,USG,Saint Gallen,Expertenjury Startfeld und Vorjury,Startfeld Diamant,"Commerce, trade & services"
216,Christoph A.,Müller,Uni St. Gallen,USG,Saint Gallen,Beirat,"MÖRK GmbH & Co. KG, Leonberg","Commerce, trade & services"
217,Christoph Hans,Boesch,Uni Bern,UBE,Bern,NA,Jubiläumsstiftung Mobiliar,"Society, Social, Culture & Sports"
218,Christophe,Ballif,ETH Lausanne,EPF,Lausanne,"Chef de division CSEM PV-center, officiellement depuis 1.10.2012","CSEM, Neuchâtel",Education & research
219,Christophe,Ancey,ETH Lausanne,EPF,Lausanne,"Prise en compte du risque de reptation sur la télécabine du Lys, pylônes P9-11","Espace Cauterets, Mairie, Cauterets","Politics, administration, justice system & security sector"
220,Christophe,Moser,ETH Lausanne,EPF,Lausanne,Board observer (resigned on 25.12.14),"Ondax Corp., USA","Industry, construction & agriculture"
221,Christophe,Moser,ETH Lausanne,EPF,Lausanne,Founder Composyt Light Lab,"PSE A, EPFL",Education & research
222,Christophe,Ballif,ETH Lausanne,EPF,Lausanne,"Panel, clean energy research program, Singapour","Economic development Board (EDB), Raffles Tower, Singapour","Commerce, trade & services"
223,Christophe,Ballif,ETH Lausanne,EPF,Lausanne,Consultant technologique et membre du conseil d'administration,"Asgalium Unitec SA, Cortaillod","Industry, construction & agriculture"
224,Christophe,Ballif,ETH Lausanne,EPF,Lausanne,Membre comité de conseil Active Niche Funds (fonds dédié au Solaire),"ANF SA, Lausanne",Financial industry & insurances
225,Christopher,Tucci,ETH Lausanne,EPF,Lausanne,Board Member,Innovation Strategy Center Association,Not classifiable
226,Christopher,Tucci,ETH Lausanne,EPF,Lausanne,Adjunct Professor (finished Aug 2014),Skolkovo Institute of Science & Technology,Education & research
227,Christopher,Tucci,ETH Lausanne,EPF,Lausanne,Board Member,EAMSA,Education & research
228,Christopher,Tucci,ETH Lausanne,EPF,Lausanne,Board Member,Lean Analytical Association,"Consulting, public relations, legal & trust"
229,Christopher,Tucci,ETH Lausanne,EPF,Lausanne,Board Member,Powzy,Media & communication
230,Christopher,Tucci,ETH Lausanne,EPF,Lausanne,Board of Governors,Academy of Management,Education & research
231,Christopher,Tucci,ETH Lausanne,EPF,Lausanne,Member (no longer active),AYU Association (no longer active),Not classifiable
232,Christos,Katsaros,Uni Bern,UBE,Bern,NA,Stiftung Papavramidès,Education & research
233,Claudio,Bassetti,Uni Bern,UBE,Bern,NA,Fondazione Eccles,Education & research
234,Claudio,Bassetti,Uni Bern,UBE,Bern,NA,Fondazione Neuroscienze Ticino,Education & research
235,Claudio,Bassetti,Uni Bern,UBE,Bern,NA,SITEM,Pharma & health
236,Claudio,Loderer,Uni Bern,UBE,Bern,NA,OLZ & Partners,Financial industry & insurances
237,Colin,Jones,ETH Lausanne,EPF,Lausanne,SNF SCOPES evaluation panel,SNSF Bern,Education & research
238,Curzio,Rüegg,Uni Freiburg,UFR,Fribourg,Mitglied der Wissenschaftlichen Kommission,Krebsliga Schweiz,Pharma & health
239,Cyrill P.,Rigamonti,Uni Bern,UBE,Bern,NA,Hans-Sigrist-Stiftung,Education & research
240,Cécile,Hébert,ETH Lausanne,EPF,Lausanne,Trésorière. Aide à l'enseignement en Tanzanie.,Foundation TALENT,Education & research
241,Cécile,Hébert,ETH Lausanne,EPF,Lausanne,"Comité HCERES, évaluation de laboratoire INAC, CEA Grenoble","HCERES, France",Education & research
242,Cécile,Hébert,ETH Lausanne,EPF,Lausanne,Comité recommandation et prospective de la plateforme de nanocarctérisation,"CEA, Grenoble",Education & research
243,Cécile,Hébert,ETH Lausanne,EPF,Lausanne,Expert projet accès transnationaux,Projet européen ESTEEM,Education & research
244,Cécile,Hébert,ETH Lausanne,EPF,Lausanne,Comité d'expert,"Centre de microscopie de l'Université de Saragosse, Espagne",Education & research
245,Damir,Filipovic,ETH Lausanne,EPF,Lausanne,Member of the Board of Directors,Swiss Life Holding Ltd,Financial industry & insurances
246,Daniel,Oyon,Uni Lausanne,ULA,Lausanne,Mandat,Autorité fédérale de surveillance en matière de révision,"Commerce, trade & services"
247,Daniel,Oyon,Uni Lausanne,ULA,Lausanne,Mandat,Etablissement Cantonal d'Assurance,"Society, Social, Culture & Sports"
248,Daniel,Oyon,Uni Lausanne,ULA,Lausanne,Mandat,Académie internationale des sciences et technique du sport,Education & research
249,Daniel,Buser,Uni Bern,UBE,Bern,NA,ITI Stiftung Basel,Education & research
250,Daniel,Buser,Uni Bern,UBE,Bern,NA,Kursaal Bern AG,"Commerce, trade & services"
251,Daniel,Buser,Uni Bern,UBE,Bern,NA,Osteology Stiftung Luzern,Pharma & health
252,Daniel,Candinas,Uni Bern,UBE,Bern,NA,CAScination AG,Pharma & health
253,Daniel,Candinas,Uni Bern,UBE,Bern,NA,"Fondazione Epatocentro Ticino, Lugano",Education & research
254,Daniel,Candinas,Uni Bern,UBE,Bern,NA,Forschungsstiftung Genaxen,Education & research
255,Daniel,Candinas,Uni Bern,UBE,Bern,NA,Insula Stiftung,Education & research
256,Daniel,Candinas,Uni Bern,UBE,Bern,NA,"Ruth & Arthur Scherbarth Stiftung, Bern","Society, Social, Culture & Sports"
257,Daniel,Candinas,Uni Bern,UBE,Bern,NA,Solothurner Spitäler AG,Pharma & health
258,Daniel,Aebersold,Uni Bern,UBE,Bern,NA,Berner Radium-Stiftung,Pharma & health
259,Daniel,Aebersold,Uni Bern,UBE,Bern,NA,Janser Krebs-Stiftung,Pharma & health
260,Daniel,Aebersold,Uni Bern,UBE,Bern,NA,SWAN Isotopen AG,Technology
261,Daniel,Steingruber,Uni St. Gallen,USG,Saint Gallen,Fachlehrer für Wirtschaft & Recht,Kantonsschule am Brühl in St.Gallen,Education & research
262,Daniel,Kuhn,ETH Lausanne,EPF,Lausanne,PhD course on  Financial Optimization and Risk Management under Uncertainty,"Norwegian University of Science & Technology, Trondheim, Norway",Education & research
263,Daniel,Odermatt,Uni Bern,UBE,Bern,NA,Campus Muristalden AG,Education & research
264,Daniel,Odermatt,Uni Bern,UBE,Bern,NA,Centre of Continuing Dental Education AG,Education & research
265,Daniel,Odermatt,Uni Bern,UBE,Bern,NA,Forschungsstiftung Genaxen,Education & research
266,Daniel,Odermatt,Uni Bern,UBE,Bern,NA,Genossenschaft basecamp4hightech (bc4ht),"Commerce, trade & services"
267,Daniel,Odermatt,Uni Bern,UBE,Bern,NA,innoBE AG,"Consulting, public relations, legal & trust"
268,Daniel,Odermatt,Uni Bern,UBE,Bern,NA,Stiftung für technologische Innovation - STI,"Commerce, trade & services"
269,Daniel,Odermatt,Uni Bern,UBE,Bern,NA,Stiftung Haus der Universität Bern,Education & research
270,Daniel,Odermatt,Uni Bern,UBE,Bern,NA,Stiftung Mensabetriebe der Universität Bern,"Commerce, trade & services"
271,Daniel,Odermatt,Uni Bern,UBE,Bern,NA,Stiftung Sozialkasse der Universität Bern,"Society, Social, Culture & Sports"
272,Daniel,Odermatt,Uni Bern,UBE,Bern,NA,Unitectra AG,Education & research
273,Daniel,Odermatt,Uni Bern,UBE,Bern,NA,Verein Berner Studentenlogierhäuser VBSL,"Commerce, trade & services"
274,Daniela,Thurnherr Keller,Uni Basel,UBA,Basel,Mitglied des Verwaltungsrates,"BVB, Basler Verkehrsbetriebe Basel","Energy, environment & mobility"
275,Daniela,Thurnherr Keller,Uni Basel,UBA,Basel,Ersatzrichterin,Appellationsgericht des Kantons Basel-Stadt,"Politics, administration, justice system & security sector"
276,Dario,Floreano,ETH Lausanne,EPF,Lausanne,"NASA/Caltech Jet Propulsion Laboratory: Visiting researcher (July-August 2014, while on leave)","JPL, Pasadena, USA",Education & research
277,Dario,Neri,ETH Zürich,ETH,Zurich,Mitarbeit in Projekt,Philochem AG,Technology
278,Dario,Floreano,ETH Lausanne,EPF,Lausanne,"Harvard Wyss Institute: Visiting Professor (September-December 2014, while on leave)","SEAS Harvard, Cambridge, USA",Education & research
279,Dario,Neri,ETH Zürich,ETH,Zurich,VR-Mandat,Philogen S.P.A.,Pharma & health
280,David,Gugerli,Uni Zürich,UZH,Zurich,Stiftungsrat,Stiftung Jüdische Zeitgeschichte,"Society, Social, Culture & Sports"
281,David,Suter,ETH Lausanne,EPF,Lausanne,Evaluation de projets de recherche,"Agence Nationale de la Recherche (ANR), Paris",Education & research
282,David,Atienza Alonso,ETH Lausanne,EPF,Lausanne,Consultancy on embedded systems uses for swallowing and chewing monitoring,Nestec SA,"Industry, construction & agriculture"
283,David,Spreng,Uni Bern,UBE,Bern,NA,Jakob Spreng AG,Financial industry & insurances
284,David Alan,Basin,ETH Zürich,ETH,Zurich,Vorsitzender der Geschäftsführung,Contego Laboratories GmbH,Technology
285,David Andrew,Barry,ETH Lausanne,EPF,Lausanne,Member of the SNF Council,Swiss National Science Foundation,Education & research
286,David Andrew,Barry,ETH Lausanne,EPF,Lausanne,Fellowships Committee,"Royal Society of Edinburgh, UK",Education & research
287,David Andrew,Barry,ETH Lausanne,EPF,Lausanne,Member and expert to the Sinergia section,Swiss National Science Foundation - Sinergia,Education & research
288,David Andrew,Barry,ETH Lausanne,EPF,Lausanne,Visiting Professor,"University of Edinburgh, UK",Education & research
289,David Andrew,Barry,ETH Lausanne,EPF,Lausanne,Co-Editor,Advances in Water Resources (Elsevier Journal),Media & communication
290,David Lyndon,Emsley,ETH Lausanne,EPF,Lausanne,Invited Professor,"KAUST, Jeddah",Education & research
291,David Lyndon,Emsley,ETH Lausanne,EPF,Lausanne,"Associate Editor, Journal of the American Chemical Society",American Chemical Society,Technology
292,David Lyndon,Emsley,ETH Lausanne,EPF,Lausanne,Professor of Chemistry,Ecole normale supérieure de Lyon,Education & research
293,Demetri,Psaltis,ETH Lausanne,EPF,Lausanne,Board Member,SPIE (Society),Education & research
294,Demetri,Psaltis,ETH Lausanne,EPF,Lausanne,Board Member,Wyss Center,Education & research
295,Denis,Duboule,Uni Genf,UGE,Geneva,Membre de comité scientifique,Institut Curie Paris,Education & research
296,Denis,Duboule,Uni Genf,UGE,Geneva,Membre du conseil scientifique,Hubrecht Institute Utrecht,Education & research
297,Denis,Duboule,Uni Genf,UGE,Geneva,Professeur (50%),Université de Genève,Education & research
298,Denis,Tappy,Uni Lausanne,ULA,Lausanne,Juge suppléant,Tribunal cantonal vaudois,"Politics, administration, justice system & security sector"
299,Denis,Duboule,Uni Genf,UGE,Geneva,Président fondation,"Fondation Latsis Internationale, Genève",Education & research
300,Denis,Duboule,Uni Genf,UGE,Geneva,Membre conseil scientifique,"Fondation Louis Jeantet, Genève",Pharma & health
301,Denis,Duboule,Uni Genf,UGE,Geneva,Président du conseil scientifique,Ecole Normale de Paris (ENS),Education & research
302,Denis,Duboule,Uni Genf,UGE,Geneva,Membre,Conseil de l'EMBL,Education & research
303,Denis,Duboule,Uni Genf,UGE,Geneva,Président Division III,"Fonds National Suisse, Berne",Education & research
304,Denis,Duboule,Uni Genf,UGE,Geneva,Président de panel,Fonds National Suisse,Education & research
305,Denis,Duboule,Uni Genf,UGE,Geneva,Membre du comité steering,IGBMC Strasbourg,Education & research
306,Denis,Piotet,Uni Lausanne,ULA,Lausanne,Mandat,Chancellerie non spécifié,"Politics, administration, justice system & security sector"
307,Denis,Duboule,Uni Genf,UGE,Geneva,Président de comité scientifique,Biozentrum Basel,Education & research
308,Denis,Duboule,Uni Genf,UGE,Geneva,Membre du conseil scientifique,"Wallenberg Institute for Regenerative Medicine, Stockholm",Education & research
309,Denis,Duboule,Uni Genf,UGE,Geneva,Membre du conseil scientifique,"Strategic Research Initiative on stem cells, Stockholm",Education & research
310,Denis,Duboule,Uni Genf,UGE,Geneva,Membre du conseil scientifique,"Institut Curie, Paris",Education & research
311,Denis,Duboule,Uni Genf,UGE,Geneva,Membre de comité scientifique,Institute Imagine Paris,Education & research
312,Denis,Duboule,Uni Genf,UGE,Geneva,Membre,Concile de l'EMBO,Education & research
313,Denis,Duboule,Uni Genf,UGE,Geneva,Membre du conseil scientifique,"CBM Severo Ochoa research Centre, Madrid",Education & research
314,Denis,Duboule,Uni Genf,UGE,Geneva,Membre de comité scientifique,Institut génomique Montpellier,Education & research
315,Detlef,Günther,ETH Zürich,ETH,Zurich,Stiftungsrat,"SIB Swiss Institute of Bioinformatics, Lausanne",Education & research
316,Detlef,Günther,ETH Zürich,ETH,Zurich,Director,ETH Singapore SEC Ltd.,"Politics, administration, justice system & security sector"
317,Detlef,Günther,ETH Zürich,ETH,Zurich,NA,Verein Euresearch,Education & research
318,Detlef,Günther,ETH Zürich,ETH,Zurich,Stiftungsrat,Huber-Kudlich-Stiftung an der Eidgenössischen Technischen Hochschule Zürich,Education & research
319,Detlef,Günther,ETH Zürich,ETH,Zurich,Stiftungsrat,Stiftung Technopark Zürich,Education & research
320,Detlef,Günther,ETH Zürich,ETH,Zurich,Verwaltungsrat,ETH Zürich SEC AG,"Politics, administration, justice system & security sector"
321,Detlef,Günther,ETH Zürich,ETH,Zurich,Verwaltungsrat,inspire AG,Technology
322,Detlef,Günther,ETH Zürich,ETH,Zurich,VR-Mandat,GRS Gemresearch Swisslab AG,Not classifiable
323,Didier,Trono,ETH Lausanne,EPF,Lausanne,Membre du conseil,Fondation Giorgi-Cavaglieri,Technology
324,Didier,Trono,ETH Lausanne,EPF,Lausanne,Chaire du conseil scientifique,IGH Montpellier,Education & research
325,Didier,Trono,ETH Lausanne,EPF,Lausanne,Membre du conseil,"Fondation ISREC, Lausanne",Education & research
326,Didier,Trono,ETH Lausanne,EPF,Lausanne,Membre du Conseil de la Recherche,Fonds National Scientifique Suisse,Education & research
327,Didier,Trono,ETH Lausanne,EPF,Lausanne,Membre du conseil scientifique,"MOLMED, Milan, Italy",Technology
328,Didier,Sornette,ETH Zürich,ETH,Zurich,Vorsitzender der Geschäftsführung,Sentiment Studies GmbH,Education & research
329,Dieter,Dietz,ETH Lausanne,EPF,Lausanne,"Architecture, agence d'architecture",dieterdietz.org,"Industry, construction & agriculture"
330,Dieter,Dietz,ETH Lausanne,EPF,Lausanne,"RATP, audit des espaces","RATP, Paris","Energy, environment & mobility"
331,Dietmar,Eberle,ETH Zürich,ETH,Zurich,VR-Mandat,Senn BPM AG,Not classifiable
332,Dietmar,Grichnik,Uni St. Gallen,USG,Saint Gallen,Gesellschafter,Particulate,Not classifiable
333,Dietmar,Grichnik,Uni St. Gallen,USG,Saint Gallen,Gründer und Gesellschafter,Scienovation,"Commerce, trade & services"
334,Dietmar,Grichnik,Uni St. Gallen,USG,Saint Gallen,Inhaber,Dietmar Grichnik Entrepreneurial Management GmbH,"Consulting, public relations, legal & trust"
335,Dietmar,Grichnik,Uni St. Gallen,USG,Saint Gallen,Mitglied des Beirats,Stiftung Social Funders,"Politics, administration, justice system & security sector"
336,Dietmar,Grichnik,Uni St. Gallen,USG,Saint Gallen,Präsident,Swiss Startup Monitor Stiftung,"Commerce, trade & services"
337,Dimos,Poulikakos,ETH Zürich,ETH,Zurich,VR-Mandat,Scrona AG,"Industry, construction & agriculture"
338,Dimos,Poulikakos,ETH Zürich,ETH,Zurich,VR-Mandat,Hylomorph AG,Pharma & health
339,Dirk,Schäfer,Uni St. Gallen,USG,Saint Gallen,Partner,Detecon (Schweiz) AG,"Consulting, public relations, legal & trust"
340,Dirk,Schäfer,Uni St. Gallen,USG,Saint Gallen,Unternehmensberater,Selbständig,Not classifiable
341,Dirk,Lehmkuhl,Uni St. Gallen,USG,Saint Gallen,Mitglied im Stiftungsrat,New Europe College,Education & research
342,Dirk,Lehmkuhl,Uni St. Gallen,USG,Saint Gallen,Mitglied im Stiftungsrat,Center for Advanced Studies,Education & research
343,Dominique,Bonvin,ETH Lausanne,EPF,Lausanne,"Consulting, conseil scientifique","ONLINE Control Sàrl, Lausanne",Technology
344,Dominique,de Quervain,Uni Basel,UBA,Basel,Mitglied des Verwaltungsrates,"GeneGuide AG, Basel",Technology
345,Dominique,Foray,ETH Lausanne,EPF,Lausanne,Consulting,EPFL-TTO,Education & research
346,Dominique,Foray,ETH Lausanne,EPF,Lausanne,Expertise,"Gesellschaft für Wissenschaftstatistik, EFI, Berlin",Education & research
347,Dominique,Foray,ETH Lausanne,EPF,Lausanne,Expertise,"SEFRI, Bern","Politics, administration, justice system & security sector"
348,Dominique,Foray,ETH Lausanne,EPF,Lausanne,Expertise,"SNF, Bern",Education & research
349,Dominique,Foray,ETH Lausanne,EPF,Lausanne,Expertise,"Uni StGall, St. Gallen",Education & research
350,Dominique,Perrault,ETH Lausanne,EPF,Lausanne,Architecture & gestion de projets,"Dominique Perrault Libérale c/o Architram, Renens","Industry, construction & agriculture"
351,Dominique,Perrault,ETH Lausanne,EPF,Lausanne,Architecture & gestion de projets,"SA Dominique Perrault Architecture, Chatelaine","Industry, construction & agriculture"
352,Doris,Wastl,Uni Bern,UBE,Bern,NA,Dr. A. Bretscher Stiftung,Education & research
353,Douglas,Hanahan,ETH Lausanne,EPF,Lausanne,"Member, Scientific Advisory Board","Shenogen Pharma Group LTD, China",Pharma & health
354,Douglas,Hanahan,ETH Lausanne,EPF,Lausanne,"Member, Scientific Advisory Board - Cancer Therapeutic Area","Pfizer, Inc., New York, USA",Pharma & health
355,Drahomir,Aujesky,Uni Bern,UBE,Bern,NA,Schweizerische Gesellschaft für allgemeine innere Medizin,Pharma & health
356,Edwin Charles,Constable,Uni Basel,UBA,Basel,Mitglied des Verwaltungsrates,Unitectra AG,Education & research
357,Edwin Charles,Constable,Uni Basel,UBA,Basel,Mitglied des Stiftungsrates,"Universitätsspital Basel, Forschungsstiftung",Pharma & health
358,Edwin Charles,Constable,Uni Basel,UBA,Basel,Mitglied des Management Board,EVA Basel Life Science Start-up Agency,"Consulting, public relations, legal & trust"
359,Edwin Charles,Constable,Uni Basel,UBA,Basel,Mitglied des Management Board,Biovalley Basel,"Commerce, trade & services"
360,Edwin Charles,Constable,Uni Basel,UBA,Basel,Mitglied der Life Science Kommission,HKBB Basel,"Commerce, trade & services"
361,Elgar,Fleisch,Uni St. Gallen,USG,Saint Gallen,VR-Mandat,Interhoval AG,Financial industry & insurances
362,Elgar,Fleisch,Uni St. Gallen,USG,Saint Gallen,VR-Mandat,Hoval Holding AG,Financial industry & insurances
363,Elgar,Fleisch,Uni St. Gallen,USG,Saint Gallen,VR-Mandat,Elgar Fleisch Management Services AG,"Consulting, public relations, legal & trust"
364,Elgar,Fleisch,Uni St. Gallen,USG,Saint Gallen,VR-Mandat,Dacuda AG,Technology
365,Elgar,Fleisch,Uni St. Gallen,USG,Saint Gallen,VR-Mandat,42matters AG,Technology
366,Elgar,Fleisch,Uni St. Gallen,USG,Saint Gallen,VR-Mandat,UCTec Beteiligungsgesellschaft AG,Financial industry & insurances
367,Elgar,Fleisch,Uni St. Gallen,USG,Saint Gallen,VR-Mandat,Schweizerische Mobiliar Holding AG,Financial industry & insurances
368,Elgar,Fleisch,Uni St. Gallen,USG,Saint Gallen,VR-Mandat,Schweizerische Mobiliar Genossenschaft,Financial industry & insurances
369,Elgar,Fleisch,Uni St. Gallen,USG,Saint Gallen,VR-Mandat,qipp AG,Technology
370,Elgar,Fleisch,Uni St. Gallen,USG,Saint Gallen,VR-Mandat,coresystems ag,Technology
371,Elgar,Fleisch,Uni St. Gallen,USG,Saint Gallen,VR-Mandat,BEN Energy AG,Technology
372,Elisio,Macamo,Uni Basel,UBA,Basel,Mitglied des Stiftungsrates,"UBUNTU, Zürich; Share for Food Alliance, Basel",Not classifiable
373,Elke,Hentschel,Uni Bern,UBE,Bern,Präsidentin,Jaberg-Stiftung,"Society, Social, Culture & Sports"
374,Elyahou,Kapon,ETH Lausanne,EPF,Lausanne,Member of Exert Panel,ERC (consolidators),Education & research
375,Elyahou,Kapon,ETH Lausanne,EPF,Lausanne,Member of Board of Directors,BeamExpress SA,Not classifiable
376,Emmanuel,Rey,ETH Lausanne,EPF,Lausanne,Membre du conseil d'administration,"Bauart Architekten und Planer Holding AG, Bern","Industry, construction & agriculture"
377,Emmanuel,Frossard,ETH Zürich,ETH,Zurich,Stiftungsrat,Walter Hochstrasser-Stiftung,Education & research
378,Emmanuel,Rey,ETH Lausanne,EPF,Lausanne,Associé et partenaire d'un bureau d'architecture et d'urbanisme,"Bauart Architekten und Planer AG, Bern","Industry, construction & agriculture"
379,Emmanuel,Rey,ETH Lausanne,EPF,Lausanne,Membre du comité d'une association à but non lucratif,"Association Ecoparc, Neuchâtel","Energy, environment & mobility"
380,Enrico,De Giorgi,Uni St. Gallen,USG,Saint Gallen,Partner,Behavioural Finance Solutions GmbH,Technology
381,Erick Moran,Carreira,ETH Zürich,ETH,Zurich,VR-Mandat,SpiroChem AG,Technology
382,Erick Moran,Carreira,ETH Zürich,ETH,Zurich,VR-Mandat,Glycemicon AG,Technology
383,Ernst,Mohr,Uni St. Gallen,USG,Saint Gallen,Verwaltungsrat,joixes AG,Technology
384,Ernst,Mohr,Uni St. Gallen,USG,Saint Gallen,Verwaltungsrat,Premiumselect Lux S.A.,Financial industry & insurances
385,Ernst,Mohr,Uni St. Gallen,USG,Saint Gallen,Verwaltungsrat,AtlanticLux Lebensversicherung S.A.,Financial industry & insurances
386,Ernst,Hafen,ETH Zürich,ETH,Zurich,VR-Mandat,EvalueScience AG,"Consulting, public relations, legal & trust"
387,Erwan,Morellec,ETH Lausanne,EPF,Lausanne,Cours (1 jour): Derivatives for Central Bankers,Swiss National Bank,Financial industry & insurances
388,Erwan,Morellec,ETH Lausanne,EPF,Lausanne,Directeur du SFI PhD Program,Swiss Finance Institute,Financial industry & insurances
389,Eugen,Brühwiler,ETH Lausanne,EPF,Lausanne,"Quatre mandats d'expertise (en tant qu'expert fédéral), mandatés par l'Office Fédéral de la Culture","BAK, Heimatschutz und Denkmalpflege, Bern","Society, Social, Culture & Sports"
390,Eugen,Brühwiler,ETH Lausanne,EPF,Lausanne,Projet de normalisation européen (Projet SIA NDP - EN 1991),"Société des Ingénieurs et Architectes Suisses, SIA, Zurich","Commerce, trade & services"
391,Eugen,Brühwiler,ETH Lausanne,EPF,Lausanne,Panoramaweg Rigi SZ : mandat de conseil pour la restoration de ponts historiques,"Office fédéral des routes, Bern","Energy, environment & mobility"
392,Eugen,Brühwiler,ETH Lausanne,EPF,Lausanne,Ingénieur-expert dans le cadre du bétonnage du Tunnel Eyholz à Visp VS,"Office fédéral des routes, Sion","Energy, environment & mobility"
393,Eugen,Brühwiler,ETH Lausanne,EPF,Lausanne,Expert/conseiller pour le suivi de questions liées à la structure porteuse de la Cathédrale de Lausanne,Canton de Vaud SIPAL,"Politics, administration, justice system & security sector"
394,Eva,Bayer Fluckiger,ETH Lausanne,EPF,Lausanne,Membre,Stiftung zur Förderung der mathematischen Wissenschaften in der Schweiz,Education & research
395,Eva,Bayer Fluckiger,ETH Lausanne,EPF,Lausanne,Membre du comité éditorial,Archiv der Mathematik,Media & communication
396,Eva,Bayer Fluckiger,ETH Lausanne,EPF,Lausanne,Membre du comité éditorial,International Journal of Number Theory,Media & communication
397,Eva,Bayer Fluckiger,ETH Lausanne,EPF,Lausanne,Membre du comité éditorial,Journal of Algebra,Media & communication
398,Eva,Bayer Fluckiger,ETH Lausanne,EPF,Lausanne,Editrice en chef de la revue Commentarii Mathematici Helvetici,Société Mathématique Suisse,Education & research
399,Eva,Bayer Fluckiger,ETH Lausanne,EPF,Lausanne,Membre du conseil de la recherche Division II,"FNS, Berne",Education & research
400,Fabien,Sorin,ETH Lausanne,EPF,Lausanne,Expert externe pour 3 projets de recherche,"Swedish Foundation for Strategic Research, Sweden",Education & research
401,Fabien,Sorin,ETH Lausanne,EPF,Lausanne,Membre du conseil scientifique du Laboratoire d'excellence SEAM (non rémunéré),"SEAM, France","Society, Social, Culture & Sports"
402,Fabio Matteo,Gramazio,ETH Zürich,ETH,Zurich,VR-Mandat,ROB Technologies AG,"Commerce, trade & services"
403,Falk,Uebernickel,Uni St. Gallen,USG,Saint Gallen,Geschäftsführender Partner und Mitglied des Verwaltungsrates,IT Management Partner St. Gallen AG,"Consulting, public relations, legal & trust"
404,Felix,Naef,ETH Lausanne,EPF,Lausanne,Executive Board,SystemsX.ch,Technology
405,Felix,Naef,ETH Lausanne,EPF,Lausanne,Member of evaluation committee Advanced Postdoc Mobility,SNF,Education & research
406,Fernando,Porte Agel,ETH Lausanne,EPF,Lausanne,Consulting work,Qatar fondation,Education & research
407,Flemming,Ruud,Uni St. Gallen,USG,Saint Gallen,Professor,Norwegian Business School,Education & research
408,Florian,Wettstein,Uni St. Gallen,USG,Saint Gallen,Mitglied des Executive Committee,"International Society for Business, Ethics and Economics ISBEE","Commerce, trade & services"
409,Florian,Wettstein,Uni St. Gallen,USG,Saint Gallen,Mitglied des Editorial Advisory Boards,Business Ethics Journal Review,Media & communication
410,Florian,Wettstein,Uni St. Gallen,USG,Saint Gallen,Co-Editor-in-Chief,Business and Human Rights Journal,Media & communication
411,Florian,Wettstein,Uni St. Gallen,USG,Saint Gallen,Mitglied des Initiativkommitees,Konzernverantwortungsinitiative,"Society, Social, Culture & Sports"
412,Florian,Wettstein,Uni St. Gallen,USG,Saint Gallen,Stiftungsrat,Brot für alle,"Politics, administration, justice system & security sector"
413,Florian,Wettstein,Uni St. Gallen,USG,Saint Gallen,Stiftungsrat,Foundation for Responsible Leadership,"Society, Social, Culture & Sports"
414,Florian,Elliker,Uni St. Gallen,USG,Saint Gallen,Research Fellow,University of the Free State,Education & research
415,Francesco,Stellacci,ETH Lausanne,EPF,Lausanne,Scientific advisor,"Istituto Besta/Centro di Nanomedicina, Milano, Italy",Education & research
416,Francesco,Stellacci,ETH Lausanne,EPF,Lausanne,"Co-editor in Chief, Nanoscale","Royal Chemistry Society, UK",Education & research
417,Francesco,Stellacci,ETH Lausanne,EPF,Lausanne,Member of the Scientific Advisory Board,"Centro Europeo di Nanomedicina, Milano",Education & research
418,Francesco,Stellacci,ETH Lausanne,EPF,Lausanne,Legal consultant,"Foley Hoag, Boston, USA","Consulting, public relations, legal & trust"
419,Francesco,Stellacci,ETH Lausanne,EPF,Lausanne,"Invited Member, Scientific Advisory Board","Constellium, France","Industry, construction & agriculture"
420,Francesco,Stellacci,ETH Lausanne,EPF,Lausanne,"Head, Scientific Advisory Board","Midatech, UK",Pharma & health
421,Francesco,Stellacci,ETH Lausanne,EPF,Lausanne,"Editorial Board Member, Nature Communications","Nature Publishing Group, London, UD",Media & communication
